Date,00:00-06:59,07:00-11:59,12:00-16:59,17:00-20:59,21:00-23:59,Total
2023-01-01,14.02,9.5,11.82,9.55,7.99,52.88
2023-01-02,10.08,7.61,9.36,22.05,15.08,64.18
2023-01-03,10.23,8.22,9.87,12.12,5.02,45.46
2023-01-04,10.43,8.27,8.38,11.65,11.14,49.87
2023-01-05,9.96,9.64,7.35,8.34,5.47,40.76
2023-01-06,10.17,7.41,18.39,12.56,6.04,54.57
2023-01-07,9.23,7.65,17.15,8.04,5.52,47.59
2023-01-08,9.13,7.02,8.09,7.46,12.78,44.48
2023-01-09,9.17,18.81,8.46,16.5,7.17,60.11
2023-01-10,11.44,7.12,7.56,18.86,6.37,51.35
2023-01-11,10.48,8.6,9.95,14.79,12.1,55.92
2023-01-12,10.34,9.4,16.31,23.65,27.42,87.12
2023-01-13,24.4,8.49,10.88,7.67,5.98,57.42
2023-01-14,8.78,7.62,9.28,18.8,5.57,50.05
2023-01-15,22.27,13.37,11.17,9.39,6.04,62.24
2023-01-16,9.65,8.6,24.98,9.87,6.84,59.94
2023-01-17,22.11,6.66,7.4,14.96,5.05,56.18
2023-01-18,9.56,7.48,9.4,6.92,5.6,38.96
2023-01-19,9.4,7.28,7.17,15.22,5.16,44.23
2023-01-20,9.79,7.26,8.25,6.84,5.64,37.78
2023-01-21,9.62,7.94,8.17,7.05,5.15,37.93
2023-01-22,10.19,6.77,7.63,9.27,5.75,39.61
2023-01-23,9.72,7.87,7.21,15.41,4.78,44.99
2023-01-24,9.96,6.64,6.51,17.55,4.68,45.34
2023-01-25,10.8,6.86,7.23,13.93,9.29,48.11
2023-01-26,9.11,7.15,9.95,9.6,5.38,41.19
2023-01-27,8.8,7.4,13.8,16.32,4.95,51.27
2023-01-28,8.71,8.28,13.89,6.83,5.65,43.36
2023-01-29,9.41,7.41,7.12,15.52,4.57,44.03
2023-01-30,9.47,7.16,6.99,12.55,4.69,40.86
2023-01-31,9.73,7.85,7.11,15.72,4.64,45.05
2023-02-01,9.15,7.08,6.84,8.67,11.19,42.93
2023-02-02,9.25,6.66,11.95,8.45,4.64,40.95
2023-02-03,9.15,12.11,11.06,6.4,4.42,43.14
2023-02-04,8.93,6.98,9.31,10.07,4.84,40.13
2023-02-05,9.84,9.08,14.31,11.39,5.05,49.67
2023-02-06,9.04,9.44,11.38,7.5,4.35,41.71
2023-02-07,8.39,6.92,9.06,13.77,5.34,43.48
2023-02-08,8.68,7.12,7.4,14.61,4.91,42.72
2023-02-09,8.83,6.47,6.89,17.77,7.83,47.79
2023-02-10,8.44,9.27,9.04,6.06,5.39,38.2
2023-02-11,9.1,6.59,6.44,9.88,5.58,37.59
2023-02-12,8.94,6.54,9.11,11.66,5.22,41.47
2023-02-13,9.04,7.36,7.57,8.88,4.43,37.28
2023-02-14,13.74,6.71,7.42,14.54,4.42,46.83
2023-02-15,8.79,6.67,6.98,7.67,10.01,40.12
2023-02-16,8.8,6.77,6.67,17.73,5.0,44.97
2023-02-17,8.84,6.58,6.32,17.05,5.48,44.27
2023-02-18,9.92,6.5,7.77,6.45,5.94,36.58
2023-02-19,8.72,14.14,17.65,7.6,9.47,57.58
2023-02-20,8.96,8.68,10.52,11.83,4.6,44.59
2023-02-21,8.95,6.59,6.63,14.75,4.74,41.66
2023-02-22,8.87,9.65,14.15,5.73,5.45,43.85
2023-02-23,10.56,28.44,8.98,24.82,4.78,77.58
2023-02-24,10.19,11.73,8.42,7.41,6.12,43.87
2023-02-25,10.22,7.62,8.02,6.38,5.47,37.71
2023-02-26,9.4,7.78,8.51,6.63,6.51,38.83
2023-02-27,10.31,10.98,11.76,10.77,4.66,48.48
2023-02-28,9.65,7.19,6.99,6.69,4.37,34.89
2023-03-01,10.15,7.05,7.62,6.07,20.18,51.07
2023-03-02,10.18,8.22,8.15,6.68,4.56,37.79
2023-03-03,9.49,14.13,41.01,14.72,4.68,84.03
2023-03-04,9.44,8.6,19.08,14.57,6.3,57.99
2023-03-05,9.45,28.33,13.39,7.44,4.36,62.97
2023-03-06,9.79,8.98,8.25,21.95,6.35,55.32
2023-03-07,9.66,6.8,6.84,7.56,4.51,35.37
2023-03-08,9.3,7.97,7.37,11.24,7.86,43.74
2023-03-09,9.98,9.02,14.9,6.22,4.41,44.53
2023-03-10,9.33,8.75,17.94,10.16,4.48,50.66
2023-03-11,23.21,25.21,7.35,8.05,4.95,68.77
2023-03-12,8.35,6.73,12.92,6.27,5.66,39.93
2023-03-13,9.31,7.98,7.0,14.9,4.35,43.54
2023-03-14,9.25,7.11,13.85,9.94,3.96,44.11
2023-03-15,9.12,13.17,7.66,9.95,7.86,47.76
2023-03-16,9.24,7.41,6.64,12.66,4.42,40.37
2023-03-17,9.32,7.37,7.0,5.64,4.42,33.75
2023-03-18,9.67,6.81,8.01,5.77,4.16,34.42
2023-03-19,9.1,23.27,12.35,7.72,4.57,57.01
2023-03-20,9.43,6.98,8.37,6.43,5.16,36.37
2023-03-21,8.97,7.06,6.68,11.42,4.21,38.34
2023-03-22,8.72,6.64,6.51,6.13,4.75,32.75
2023-03-23,9.04,6.95,7.47,10.0,4.56,38.02
2023-03-24,9.12,10.72,14.0,7.72,4.23,45.79
2023-03-25,9.29,7.13,15.9,12.16,5.79,50.27
2023-03-26,9.38,8.22,7.38,6.82,4.75,36.55
2023-03-27,9.18,6.88,7.41,14.23,5.18,42.88
2023-03-28,9.43,6.82,9.35,16.12,7.44,49.16
2023-03-29,10.17,6.64,6.75,13.17,5.13,41.86
2023-03-30,9.13,6.49,6.77,5.65,4.35,32.39
2023-03-31,9.34,13.03,18.96,6.35,4.86,52.54
2023-04-01,9.91,6.87,7.69,6.19,4.65,35.31
2023-04-02,9.46,8.61,7.92,16.92,7.18,50.09
2023-04-03,9.76,11.5,13.46,7.48,4.99,47.19
2023-04-04,9.63,6.57,6.84,13.19,4.5,40.73
2023-04-05,10.68,6.52,7.45,9.21,4.69,38.55
2023-04-06,9.24,6.47,6.84,16.31,4.61,43.47
2023-04-07,9.24,10.33,11.98,6.36,4.45,42.36
2023-04-08,9.33,7.24,9.7,6.25,4.49,37.01
2023-04-09,8.85,7.29,9.56,7.02,5.19,37.91
2023-04-10,9.29,7.4,7.01,14.41,4.69,42.8
2023-04-11,9.24,6.5,7.31,14.4,5.13,42.58
2023-04-12,9.27,6.93,7.29,12.86,6.38,42.73
2023-04-13,9.48,6.8,6.96,13.47,5.65,42.36
2023-04-14,9.87,7.22,7.51,6.61,7.36,38.57
2023-04-15,9.42,7.42,10.82,7.1,4.79,39.55
2023-04-16,8.97,6.72,8.96,8.01,6.08,38.74
2023-04-17,10.0,10.11,9.84,8.66,24.54,63.15
2023-04-18,9.91,6.65,8.75,12.9,5.1,43.31
2023-04-19,9.86,6.63,6.86,6.96,11.38,41.69
2023-04-20,9.53,6.7,8.42,12.86,5.89,43.4
2023-04-21,9.02,7.46,11.23,10.72,8.31,46.74
2023-04-22,9.33,15.09,10.51,28.67,23.22,86.82
2023-04-23,27.15,11.44,11.56,6.82,4.77,61.74
2023-04-24,11.55,14.68,10.19,6.1,4.73,47.25
2023-04-25,10.1,6.48,6.97,11.18,5.32,40.05
2023-04-26,9.26,6.56,6.89,12.51,4.75,39.97
2023-04-27,9.7,6.51,6.68,11.44,4.07,38.4
2023-04-28,9.15,7.54,8.16,5.9,6.43,37.18
2023-04-29,9.32,9.29,13.29,18.86,4.1,54.86
2023-04-30,8.53,11.23,7.03,5.38,4.82,36.99
2023-05-01,8.78,7.48,8.07,6.12,4.78,35.23
2023-05-02,8.76,6.54,6.73,12.17,4.41,38.61
