Date,DayOfWeek,00:00-06:59,07:00-11:59,12:00-16:59,17:00-20:59,21:00-23:59,Total
2021-01-01,Fri,10.11,7.0,38.88,8.88,5.12,69.99
2021-01-02,Sat,9.32,10.95,9.59,11.57,5.23,46.66
2021-01-03,Sun,8.94,7.45,9.45,9.04,5.02,39.9
2021-01-04,Mon,8.78,7.84,7.92,7.0,5.2,36.74
2021-01-05,Tue,9.23,8.32,10.81,6.97,4.6,39.93
2021-01-06,Wed,9.39,8.04,8.88,8.25,5.06,39.62
2021-01-07,Thu,8.91,7.68,13.82,10.58,4.52,45.51
2021-01-08,Fri,9.24,7.99,8.26,8.16,5.42,39.07
2021-01-09,Sat,9.09,7.6,8.62,13.98,4.85,44.14
2021-01-10,Sun,8.97,7.91,10.8,7.21,5.36,40.25
2021-01-11,Mon,8.76,8.63,9.07,11.39,6.16,44.01
2021-01-12,Tue,8.73,8.12,8.3,8.27,5.37,38.79
2021-01-13,Wed,8.75,7.07,7.04,6.88,5.45,35.19
2021-01-14,Thu,8.76,8.6,8.6,9.35,5.22,40.53
2021-01-15,Fri,8.57,30.58,31.89,17.43,4.74,93.21
2021-01-16,Sat,9.69,16.82,7.0,26.99,10.27,70.77
2021-01-17,Sun,9.54,6.44,5.95,4.77,3.61,30.31
2021-01-18,Mon,10.24,7.61,11.11,11.45,6.92,47.33
2021-01-19,Tue,9.09,8.68,10.02,9.1,5.81,42.7
2021-01-20,Wed,8.98,7.83,7.62,15.91,6.72,47.06
2021-01-21,Thu,9.75,8.72,40.54,18.75,5.69,83.45
2021-01-22,Fri,8.74,7.6,6.71,6.51,4.43,33.99
2021-01-23,Sat,8.74,6.46,6.19,6.17,4.08,31.64
2021-01-24,Sun,8.47,6.91,7.61,6.41,3.96,33.36
2021-01-25,Mon,8.94,7.13,6.65,7.76,10.33,40.81
2021-01-26,Tue,47.11,14.33,8.12,8.39,5.33,83.28
2021-01-27,Wed,9.55,7.61,8.64,7.23,4.04,37.07
2021-01-28,Thu,8.68,7.45,11.64,17.24,3.81,48.82
2021-01-29,Fri,8.53,7.44,6.89,6.16,4.09,33.11
2021-01-30,Sat,8.68,7.46,11.04,6.87,4.38,38.43
2021-01-31,Sun,8.43,9.54,7.3,15.61,4.61,45.49
2021-02-01,Mon,8.08,7.16,7.12,6.13,4.57,33.06
2021-02-02,Tue,8.31,7.79,8.36,6.36,5.39,36.21
2021-02-03,Wed,8.56,7.95,7.15,6.74,4.75,35.15
2021-02-04,Thu,8.81,7.56,29.52,7.91,4.7,58.5
2021-02-05,Fri,8.83,7.74,8.0,6.23,4.75,35.55
2021-02-06,Sat,8.57,7.09,6.49,6.13,3.88,32.16
2021-02-07,Sun,8.57,10.49,9.44,6.69,4.07,39.26
2021-02-08,Mon,8.87,8.63,7.18,6.83,5.16,36.67
2021-02-09,Tue,9.76,7.97,7.44,8.51,4.88,38.56
2021-02-10,Wed,9.17,8.26,6.84,6.5,4.76,35.53
2021-02-11,Thu,9.96,10.36,14.41,28.35,5.25,68.33
2021-02-12,Fri,11.27,8.46,9.58,8.24,5.59,43.14
2021-02-13,Sat,11.25,9.81,10.69,6.82,5.18,43.75
2021-02-14,Sun,9.74,7.18,7.67,7.05,5.01,36.65
2021-02-15,Mon,7.68,7.38,8.98,17.48,4.89,46.41
2021-02-16,Tue,9.33,17.77,7.17,6.81,4.33,45.41
2021-02-17,Wed,9.51,7.51,7.13,8.2,6.86,39.21
2021-02-18,Thu,8.77,7.48,8.15,6.38,4.34,35.12
2021-02-19,Fri,9.43,7.37,7.11,7.12,5.05,36.08
2021-02-20,Sat,8.94,6.59,10.89,6.85,4.73,38.0
2021-02-21,Sun,8.88,8.26,8.29,7.2,6.66,39.29
2021-02-22,Mon,10.29,8.94,8.42,6.95,4.99,39.59
2021-02-23,Tue,9.35,8.13,7.61,6.89,4.88,36.86
2021-02-24,Wed,9.78,10.85,7.17,6.17,4.71,38.68
2021-02-25,Thu,9.76,10.01,10.96,6.29,5.46,42.48
2021-02-26,Fri,8.85,7.52,2.29,30.78,5.14,54.58
2021-02-27,Sat,9.16,7.01,8.63,6.57,5.01,36.38
2021-02-28,Sun,8.56,7.59,11.18,8.23,4.68,40.24
2021-03-01,Mon,9.68,9.1,10.6,6.33,10.42,46.13
2021-03-02,Tue,10.82,38.11,19.69,5.4,4.9,78.92
2021-03-03,Wed,8.62,7.31,6.45,5.91,3.78,32.07
2021-03-04,Thu,9.26,7.15,7.12,5.67,3.94,33.14
2021-03-05,Fri,9.45,8.47,6.88,26.46,4.55,55.81
2021-03-06,Sat,9.09,11.0,6.52,7.85,6.59,41.05
2021-03-07,Sun,8.31,6.72,22.17,6.77,5.11,49.08
2021-03-08,Mon,9.36,7.56,6.59,8.0,6.02,37.53
2021-03-09,Tue,9.67,7.6,6.52,9.14,4.77,37.7
2021-03-10,Wed,9.04,7.66,9.69,7.65,4.85,38.89
2021-03-11,Thu,8.95,7.28,7.11,7.4,9.18,39.92
2021-03-12,Fri,8.49,7.03,6.28,8.75,5.11,35.66
2021-03-13,Sat,8.72,13.81,33.07,10.43,5.45,71.48
2021-03-14,Sun,7.09,6.49,13.45,10.01,4.57,41.61
2021-03-15,Mon,9.52,9.63,11.03,9.1,5.05,44.33
2021-03-16,Tue,9.96,7.66,6.41,5.77,5.07,34.87
2021-03-17,Wed,9.23,10.19,6.97,24.44,4.44,55.27
2021-03-18,Thu,8.99,10.42,8.2,5.88,4.37,37.86
2021-03-19,Fri,9.45,7.2,9.69,6.75,4.68,37.77
2021-03-20,Sat,9.12,6.86,18.62,5.97,4.52,45.09
2021-03-21,Sun,9.69,7.97,13.06,6.23,4.97,41.92
2021-03-22,Mon,9.24,7.7,8.16,5.64,4.53,35.27
2021-03-23,Tue,8.98,7.53,6.63,5.66,4.62,33.42
2021-03-24,Wed,8.66,7.24,6.83,8.25,5.09,36.07
2021-03-25,Thu,8.99,7.78,6.67,6.6,4.6,34.64
2021-03-26,Fri,8.98,9.65,6.82,8.69,4.6,38.74
2021-03-27,Sat,8.56,8.4,5.81,5.64,4.5,32.91
2021-03-28,Sun,7.85,7.52,8.41,5.36,4.74,33.88
2021-03-29,Mon,9.59,15.14,6.72,5.28,4.69,41.42
2021-03-30,Tue,9.61,8.95,6.54,7.24,4.91,37.25
2021-03-31,Wed,9.01,7.25,6.42,5.32,4.85,32.85
2021-04-01,Thu,8.54,6.54,6.21,5.17,4.26,30.72
2021-04-02,Fri,8.31,11.5,11.92,7.13,4.66,43.52
2021-04-03,Sat,8.59,6.3,16.77,7.54,4.31,43.51
2021-04-04,Sun,9.88,6.06,6.53,5.3,4.53,32.3
2021-04-05,Mon,9.7,7.15,5.84,5.13,4.66,32.48
2021-04-06,Tue,9.07,7.05,6.49,5.58,5.0,33.19
2021-04-07,Wed,8.65,6.85,25.63,24.6,4.29,70.02
2021-04-08,Thu,9.46,9.32,12.34,5.56,4.15,40.83
2021-04-09,Fri,9.6,16.07,6.85,7.93,4.75,45.2
2021-04-10,Sat,8.56,13.1,8.29,32.01,6.32,68.28
2021-04-11,Sun,9.78,14.29,6.43,6.86,4.64,42.0
2021-04-12,Mon,9.1,12.86,9.09,33.6,5.96,70.61
